frame,time_s,state,motion_energy,crowding_pct,mortality_alerts_active,mortality_alerts_cumulative,kinetic_energy_smooth
101,4.225,STRESS,9.3857,22.93,0,0,8.446228888888887
102,4.267,STRESS,8.8691,23.03,0,0,8.407977777777777
103,4.309,STRESS,8.1638,22.91,0,0,8.372708888888887
104,4.351,STRESS,7.8418,22.77,0,0,8.35123111111111
105,4.393,STRESS,7.0517,22.73,0,0,8.318893333333333
106,4.434,CALM,6.824,22.9,0,0,8.287884444444446
107,4.476,CALM,7.317,23.15,0,0,8.216997777777777
108,4.518,CALM,8.291,23.18,0,0,8.138077777777777
109,4.56,CALM,8.0024,23.2,0,0,8.068071111111111
110,4.602,CALM,7.9546,23.26,0,0,8.01197111111111
111,4.644,CALM,7.9464,23.22,0,0,7.952362222222223
112,4.685,CALM,8.6838,23.18,0,0,7.909700000000001
113,4.727,CALM,8.4189,23.18,0,0,7.8507444444444445
114,4.769,CALM,8.8174,23.14,0,0,7.82108
115,4.811,CALM,8.3942,23.24,0,0,7.782617777777778
116,4.853,CALM,8.1038,23.2,0,0,7.751762222222222
117,4.895,CALM,7.4221,23.43,0,0,7.720204444444445
118,4.936,CALM,6.6723,23.65,0,0,7.715622222222223
119,4.978,CALM,6.2876,23.4,0,0,7.7155466666666666
120,5.02,CALM,6.9152,23.49,0,0,7.711631111111111
121,5.062,CALM,6.9388,23.53,0,0,7.699793333333333
122,5.104,CALM,6.9818,23.55,0,0,7.703464444444444
123,5.146,CALM,7.1319,23.52,0,0,7.671262222222223
124,5.187,CALM,7.211,23.65,0,0,7.631393333333333
125,5.229,CALM,7.5358,23.76,0,0,7.611215555555555
126,5.271,CALM,7.2871,23.85,0,0,7.615593333333334
127,5.313,CALM,6.7422,24.08,0,0,7.629148888888889
128,5.355,CALM,7.1377,24.33,0,0,7.656813333333333
129,5.397,CALM,6.6161,24.35,0,0,7.686097777777778
130,5.438,CALM,6.7837,24.43,0,0,7.721146666666668
131,5.48,CALM,6.9252,24.56,0,0,7.716931111111112
132,5.522,CALM,7.1245,24.69,0,0,7.725495555555555
133,5.564,CALM,7.2303,24.79,0,0,7.745093333333333
134,5.606,CALM,7.3721,24.81,0,0,7.769033333333333
135,5.648,CALM,7.2323,24.97,0,0,7.779231111111112
136,5.689,CALM,7.6926,25.13,0,0,7.786428888888889
137,5.731,CALM,7.4564,25.3,0,0,7.7720666666666665
138,5.773,CALM,8.1804,25.54,0,0,7.778246666666666
139,5.815,CALM,8.2109,25.72,0,0,7.7809155555555565
140,5.857,CALM,8.6522,26.04,0,0,7.7992
