frame,time_s,count
398,16.65,24
399,16.692,21
400,16.733,24
401,16.775,25
402,16.817,26
403,16.859,24
404,16.901,25
405,16.943,26
406,16.984,26
407,17.026,27
408,17.068,23
409,17.11,23
410,17.152,22
411,17.194,24
412,17.235,26
413,17.277,25
414,17.319,26
415,17.361,22
416,17.403,24
417,17.445,27
418,17.486,24
419,17.528,23
420,17.57,22
421,17.612,24
422,17.654,21
423,17.696,22
424,17.737,21
425,17.779,22
426,17.821,22
427,17.863,23
428,17.905,20
429,17.947,21
430,17.988,20
431,18.03,19
432,18.072,20
433,18.114,18
434,18.156,19
435,18.198,20
436,18.239,18
437,18.281,18
438,18.323,22
439,18.365,25
440,18.407,26
441,18.449,29
442,18.49,32
443,18.532,27
444,18.574,25
445,18.616,27
446,18.658,25
447,18.7,23
448,18.741,24
449,18.783,21
450,18.825,21
451,18.867,26
452,18.909,25
453,18.951,24
454,18.992,23
455,19.034,20
456,19.076,19
457,19.118,20
458,19.16,18
459,19.202,21
460,19.243,26
461,19.285,19
462,19.327,20
463,19.369,20
464,19.411,22
465,19.453,23
466,19.494,25
467,19.536,25
468,19.578,28
469,19.62,22
470,19.662,23
471,19.704,21
472,19.745,16
473,19.787,20
474,19.829,19
475,19.871,21
476,19.913,21
477,19.955,20
478,19.996,22
479,20.038,19
480,20.08,20
481,20.122,22
482,20.164,20
483,20.206,23
484,20.247,23
485,20.289,24
486,20.331,25
487,20.373,27
488,20.415,26
489,20.457,23
490,20.498,24
491,20.54,22
492,20.582,26
493,20.624,23
494,20.666,23
495,20.708,23
496,20.749,23
497,20.791,20
498,20.833,20
499,20.875,23
500,20.917,26
501,20.959,23
502,21.0,24
503,21.042,24
504,21.084,26
505,21.126,24
506,21.168,27
507,21.21,27
508,21.251,28
509,21.293,30
510,21.335,30
511,21.377,29
512,21.419,29
513,21.461,27
514,21.502,30
515,21.544,33
516,21.586,30
517,21.628,34
518,21.67,35
519,21.712,32
520,21.753,32
521,21.795,30
522,21.837,26
523,21.879,29
524,21.921,31
525,21.963,27
526,22.004,24
527,22.046,29
528,22.088,28
529,22.13,28
530,22.172,27
531,22.214,27
532,22.255,24
533,22.297,25
534,22.339,26
535,22.381,26
536,22.423,22
537,22.465,23
538,22.506,26
539,22.548,28
540,22.59,30
541,22.632,26
542,22.674,29
543,22.716,27
544,22.757,25
545,22.799,25
546,22.841,27
547,22.883,24
548,22.925,24
549,22.967,26
550,23.008,24
551,23.05,25
552,23.092,23
553,23.134,25
554,23.176,24
555,23.218,27
556,23.259,27
557,23.301,26
558,23.343,28
559,23.385,29
560,23.427,26
561,23.469,25
562,23.51,27
563,23.552,25
564,23.594,28
565,23.636,29
566,23.678,23
567,23.72,27
568,23.761,28
569,23.803,26
570,23.845,29
571,23.887,28
572,23.929,28
573,23.971,28
574,24.012,25
575,24.054,25
576,24.096,14
577,24.138,18
578,24.18,20
579,24.222,22
580,24.263,23
581,24.305,24
582,24.347,23
583,24.389,24
584,24.431,24
585,24.473,22
586,24.514,25
587,24.556,24
588,24.598,23
589,24.64,25
590,24.682,24
591,24.724,21
592,24.765,24
593,24.807,25
594,24.849,26
595,24.891,24
596,24.933,25
597,24.975,26
598,25.016,26
599,25.058,27
600,25.1,23
601,25.142,23
602,25.184,22
603,25.226,24
604,25.267,26
605,25.309,25
606,25.351,26
607,25.393,22
608,25.435,24
609,25.477,27
610,25.518,24
611,25.56,23
612,25.602,22
613,25.644,24
614,25.686,21
615,25.728,22
616,25.769,21
617,25.811,22
618,25.853,22
619,25.895,23
620,25.937,20
621,25.979,21
622,26.02,20
623,26.062,19
624,26.104,20
625,26.146,18
626,26.188,19
627,26.23,20
628,26.271,18
629,26.313,18
630,26.355,22
631,26.397,25
632,26.439,26
633,26.481,29
634,26.522,32
635,26.564,27
636,26.606,25
637,26.648,27
638,26.69,25
639,26.732,23
640,26.773,24
641,26.815,21
642,26.857,21
643,26.899,26
644,26.941,25
645,26.983,24
646,27.024,23
647,27.066,20
648,27.108,19
649,27.15,20
650,27.192,18
651,27.234,21
652,27.275,26
653,27.317,19
654,27.359,20
655,27.401,20
656,27.443,22
657,27.485,23
658,27.526,25
659,27.568,25
660,27.61,28
661,27.652,22
662,27.694,23
663,27.736,21
664,27.777,16
665,27.819,20
666,27.861,19
667,27.903,21
668,27.945,21
669,27.987,20
670,28.028,22
671,28.07,19
672,28.112,20
673,28.154,22
674,28.196,20
675,28.238,23
676,28.279,23
677,28.321,24
678,28.363,25
679,28.405,27
680,28.447,26
681,28.489,23
682,28.53,24
683,28.572,22
684,28.614,26
685,28.656,23
686,28.698,23
687,28.74,23
688,28.781,23
689,28.823,20
690,28.865,20
691,28.907,23
692,28.949,26
693,28.991,23
694,29.032,24
695,29.074,24
696,29.116,26
697,29.158,24
698,29.2,27
699,29.242,27
700,29.283,28
701,29.325,30
702,29.367,30
703,29.409,29
704,29.451,29
705,29.493,27
706,29.534,30
707,29.576,33
708,29.618,30
709,29.66,34
710,29.702,35
711,29.744,32
712,29.785,32
713,29.827,30
714,29.869,26
715,29.911,29
716,29.953,31
717,29.995,27
718,30.036,24
719,30.078,29
720,30.12,28
721,30.162,28
722,30.204,27
723,30.246,27
724,30.287,24
725,30.329,25
726,30.371,26
727,30.413,26
728,30.455,22
729,30.497,23
730,30.538,26
731,30.58,28
732,30.622,30
733,30.664,26
734,30.706,29
735,30.748,27
736,30.789,25
737,30.831,25
738,30.873,27
739,30.915,24
740,30.957,24
741,30.999,26
742,31.04,24
743,31.082,25
744,31.124,23
745,31.166,25
746,31.208,24
747,31.25,27
748,31.291,27
749,31.333,26
750,31.375,28
751,31.417,29
752,31.459,26
753,31.501,25
754,31.542,27
755,31.584,25
756,31.626,28
757,31.668,29
758,31.71,23
759,31.752,27
760,31.793,28
761,31.835,26
762,31.877,29
763,31.919,28
764,31.961,28
765,32.003,28
766,32.044,25
767,32.086,25
